;Unnamed: 0;crime;penalty;0;1;2
0;0.0;§ 1. Kto wszczyna lub prowadzi wojnę napastniczą;karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.;;;
1;1.0;3. Kto publicznie nawołuje do wszczęcia wojny napastniczej lub publicznie pochwala wszczęcie lub prowadzenie takiej wojny;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
2;2.0;§ 1. Kto, w celu wyniszczenia w całości albo w części grupy narodowej, etnicznej, rasowej, politycznej, wyznaniowej lub grupy o określonym światopoglądzie, dopuszcza się zabójstwa albo powoduje ciężki uszczerbek na zdrowiu osoby należącej do takiej grupy;karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.;;;
3;3.0;2. Kto, w celu określonym w § 1, stwarza dla osób należących do takiej grupy warunki życia grożące jej biologicznym wyniszczeniem, stosuje środki mające służyć do wstrzymania urodzeń w obrębie grupy lub przymusowo odbiera dzieci osobom do niej należącym;karze pozbawienia wolności od lat 5 do 25.;;;
4;4.0;"§ 1. Kto, biorąc udział w masowym zamachu lub choćby w jednym z powtarzających się zamachów skierowanych przeciwko grupie ludności podjętych w celu wykonania lub wsparcia polityki państwa lub organizacji:
1) dopuszcza się zabójstwa,
2) powoduje ciężki uszczerbek na zdrowiu człowieka,
3) stwarza dla osób należących do grupy ludności warunki życia grożące ich biologicznej egzystencji, w szczególności przez pozbawienie dostępu do żywności lub opieki medycznej, które są obliczone na ich wyniszczenie,";karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.;;;
5;5.0;"2. Kto, biorąc udział w masowym zamachu lub choćby w jednym z powtarzających się zamachów skierowanych przeciwko grupie ludności podjętych w celu wykonania lub wsparcia polityki państwa lub organizacji:
1) powoduje oddanie osoby w stan niewolnictwa lub utrzymuje ją w tym stanie,
2) pozbawia osobę wolności na czas przekraczający 7 dni lub ze szczególnym udręczeniem,
3) stosuje tortury lub poddaje osobę okrutnemu lub nieludzkiemu traktowaniu,
4) dopuszcza się zgwałcenia albo stosując przemoc, groźbę bezprawną lub podstęp w inny sposób narusza wolność seksualną osoby,
5) stosując przemoc lub groźbę bezprawną powoduje zajście przez kobietę w ciążę w zamiarze wpłynięcia na skład etniczny grupy ludności lub dokonania innych poważnych naruszeń prawa międzynarodowego,
6) pozbawia osobę wolności i odmawia udzielenia informacji dotyczących tej osoby lub miejsca jej pobytu lub przekazuje nieprawdziwe informacje dotyczące tej osoby lub miejsca jej pobytu, w zamiarze pozbawienia takiej osoby ochrony prawnej przez dłuższy okres,";karze pozbawienia wolności od lat 5 do 25.;;;
6;6.0;"3. Kto, biorąc udział w masowym zamachu lub choćby w jednym z powtarzających się zamachów skierowanych przeciwko grupie ludności podjętych w celu wykonania lub wsparcia polityki państwa lub organizacji:
1) naruszając prawo międzynarodowe zmusza osoby do zmiany ich zgodnego z prawem miejsca zamieszkania,
2) dopuszcza się poważnego prześladowania grupy ludności z powodów uznanych za niedopuszczalne na podstawie prawa międzynarodowego, w szczególności politycznych, rasowych, narodowych, etnicznych, kulturowych, wyznaniowych lub z powodu bezwyznaniowości, światopoglądu lub płci, powodując pozbawienie praw podstawowych,";karze pozbawienia wolności od lat 3 do 20.;;;
7;7.0;§ 1. Kto stosuje przemoc lub groźbę bezprawną wobec grupy osób lub poszczególnej osoby z powodu jej przynależności narodowej, etnicznej, rasowej, politycznej, wyznaniowej lub z powodu jej bezwyznaniowości,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
8;8.0;Kto stosuje środek masowej zagłady zakazany przez prawo międzynarodowe,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.;;;
9;9.0;§ 1. Kto, wbrew zakazom prawa międzynarodowego lub przepisom ustawy, wytwarza, gromadzi, nabywa, zbywa, przechowuje, przewozi lub przesyła środki masowej zagłady lub środki walki bądź prowadzi badania mające na celu wytwarzanie lub stosowanie takich środków;karze pozbawienia wolności od roku do lat 10.;;;
10;10.0;§ 1. Kto w czasie działań zbrojnych atakuje miejscowość lub obiekt niebroniony, strefę sanitarną, zdemilitaryzowaną lub zneutralizowaną albo stosuje inny sposób walki zakazany przez prawo międzynarodowe,;karze pozbawienia wolności od lat 5 do 25.;;;
11;11.0;"§ 1. Kto, naruszając prawo międzynarodowe, dopuszcza się zabójstwa wobec:
1) osób, które składając broń lub nie dysponując środkami obrony poddały się,
2) rannych, chorych, rozbitków, personelu medycznego lub osób duchownych,
3) jeńców wojennych,
4) ludności cywilnej obszaru okupowanego, zajętego lub na którym toczą się działania zbrojne, albo innych osób korzystających w czasie działań zbrojnych z ochrony międzynarodowej,";karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.;;;
12;12.0;2. Kto, naruszając prawo międzynarodowe, powoduje u osób wymienionych w § 1 ciężki uszczerbek na zdrowiu, poddaje te osoby torturom, okrutnemu lub nieludzkiemu traktowaniu, dokonuje na nich, nawet za ich zgodą, eksperymentów poznawczych, używa ich do ochraniania swoją obecnością określonego terenu lub obiektu przed działaniami zbrojnymi albo własnych oddziałów lub zatrzymuje jako zakładników,;karze pozbawienia wolności od lat 5 do 25.;;;
