Headers;Contents
Art. 117. Wojna napastnicza;"§ 1. Kto wszczyna lub prowadzi wojnę napastniczą, podlega karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
§ 2. (uchylony)
§ 3. Kto publicznie nawołuje do wszczęcia wojny napastniczej lub publicznie pochwala wszczęcie lub prowadzenie takiej wojny, podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 118. Ludobójstwo;"§ 1. Kto, w celu wyniszczenia w całości albo w części grupy narodowej, etnicznej, rasowej, politycznej, wyznaniowej lub grupy o określonym światopoglądzie, dopuszcza się zabójstwa albo powoduje ciężki uszczerbek na zdrowiu osoby należącej do takiej grupy, podlega karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
§ 2. Kto, w celu określonym w § 1, stwarza dla osób należących do takiej grupy warunki życia grożące jej biologicznym wyniszczeniem, stosuje środki mające służyć do wstrzymania urodzeń w obrębie grupy lub przymusowo odbiera dzieci osobom do niej należącym, podlega karze pozbawienia wolności od lat 5 do 25.
§ 3. (uchylony)"
Art. 118a. Udział w masowym zamachu;"§ 1. Kto, biorąc udział w masowym zamachu lub choćby w jednym z powtarzających się zamachów skierowanych przeciwko grupie ludności podjętych w celu wykonania lub wsparcia polityki państwa lub organizacji:
1) dopuszcza się zabójstwa,
2) powoduje ciężki uszczerbek na zdrowiu człowieka,
3) stwarza dla osób należących do grupy ludności warunki życia grożące ich biologicznej egzystencji, w szczególności przez pozbawienie dostępu do żywności lub opieki medycznej, które są obliczone na ich wyniszczenie,
podlega karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
§ 2. Kto, biorąc udział w masowym zamachu lub choćby w jednym z powtarzających się zamachów skierowanych przeciwko grupie ludności podjętych w celu wykonania lub wsparcia polityki państwa lub organizacji:
1) powoduje oddanie osoby w stan niewolnictwa lub utrzymuje ją w tym stanie,
2) pozbawia osobę wolności na czas przekraczający 7 dni lub ze szczególnym udręczeniem,
3) stosuje tortury lub poddaje osobę okrutnemu lub nieludzkiemu traktowaniu,
4) dopuszcza się zgwałcenia albo stosując przemoc, groźbę bezprawną lub podstęp w inny sposób narusza wolność seksualną osoby,
5) stosując przemoc lub groźbę bezprawną powoduje zajście przez kobietę w ciążę w zamiarze wpłynięcia na skład etniczny grupy ludności lub dokonania innych poważnych naruszeń prawa międzynarodowego,
6) pozbawia osobę wolności i odmawia udzielenia informacji dotyczących tej osoby lub miejsca jej pobytu lub przekazuje nieprawdziwe informacje dotyczące tej osoby lub miejsca jej pobytu, w zamiarze pozbawienia takiej osoby ochrony prawnej przez dłuższy okres,
podlega karze pozbawienia wolności od lat 5 do 25.
§ 3. Kto, biorąc udział w masowym zamachu lub choćby w jednym z powtarzających się zamachów skierowanych przeciwko grupie ludności podjętych w celu wykonania lub wsparcia polityki państwa lub organizacji:
1) naruszając prawo międzynarodowe zmusza osoby do zmiany ich zgodnego z prawem miejsca zamieszkania,
2) dopuszcza się poważnego prześladowania grupy ludności z powodów uznanych za niedopuszczalne na podstawie prawa międzynarodowego, w szczególności politycznych, rasowych, narodowych, etnicznych, kulturowych, wyznaniowych lub z powodu bezwyznaniowości, światopoglądu lub płci, powodując pozbawienie praw podstawowych,
podlega karze pozbawienia wolności od lat 3 do 20."
Art. 119. Dyskryminacja;"§ 1. Kto stosuje przemoc lub groźbę bezprawną wobec grupy osób lub poszczególnej osoby z powodu jej przynależności narodowej, etnicznej, rasowej, politycznej, wyznaniowej lub z powodu jej bezwyznaniowości,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. (uchylony)"
Art. 120. Stosowanie środków masowej zagłady;"Kto stosuje środek masowej zagłady zakazany przez prawo międzynarodowe,
podlega karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności."
Art. 121. Wytwarzanie, gromadzenie i obrót środkami zakazanymi;"§ 1. Kto, wbrew zakazom prawa międzynarodowego lub przepisom ustawy, wytwarza, gromadzi, nabywa, zbywa, przechowuje, przewozi lub przesyła środki masowej zagłady lub środki walki bądź prowadzi badania mające na celu wytwarzanie lub stosowanie takich środków, podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Tej samej karze podlega, kto dopuszcza do popełnienia czynu określonego w § 1."
Art. 122. Niedopuszczalne sposoby lub środki walki;"§ 1. Kto w czasie działań zbrojnych atakuje miejscowość lub obiekt niebroniony, strefę sanitarną, zdemilitaryzowaną lub zneutralizowaną albo stosuje inny sposób walki zakazany przez prawo międzynarodowe,
podlega karze pozbawienia wolności od lat 5 do 25.
§ 2. Tej samej karze podlega, kto w czasie działań zbrojnych stosuje środek walki zakazany przez prawo międzynarodowe."
Art. 123. Zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej;"§ 1. Kto, naruszając prawo międzynarodowe, dopuszcza się zabójstwa wobec:
1) osób, które składając broń lub nie dysponując środkami obrony poddały się,
2) rannych, chorych, rozbitków, personelu medycznego lub osób duchownych,
3) jeńców wojennych,
4) ludności cywilnej obszaru okupowanego, zajętego lub na którym toczą się działania zbrojne, albo innych osób korzystających w czasie działań zbrojnych z ochrony międzynarodowej,
podlega karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
§ 2. Kto, naruszając prawo międzynarodowe, powoduje u osób wymienionych w § 1 ciężki uszczerbek na zdrowiu, poddaje te osoby torturom, okrutnemu lub nieludzkiemu traktowaniu, dokonuje na nich, nawet za ich zgodą, eksperymentów poznawczych, używa ich do ochraniania swoją obecnością określonego terenu lub obiektu przed działaniami zbrojnymi albo własnych oddziałów lub zatrzymuje jako zakładników,
podlega karze pozbawienia wolności od lat 5 do 25."
Art. 124. Inne naruszenia przepisów prawa międzynarodowego;"§ 1. Kto, naruszając prawo międzynarodowe, zmusza osoby wymienione w art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej § 1 do służby w nieprzyjacielskich siłach zbrojnych lub do uczestnictwa w działaniach zbrojnych skierowanych przeciwko własnemu krajowi, stosuje kary cielesne, przemocą, groźbą bezprawną lub podstępem doprowadza te osoby do obcowania płciowego, poddania się innej czynności seksualnej albo do wykonania takiej czynności, dopuszcza się zamachu na godność osobistą, w szczególności poniżającego i upokarzającego traktowania, pozbawia wolności, pozbawia prawa do niezawisłego i bezstronnego sądu albo ogranicza prawo tych osób do obrony w postępowaniu karnym, ogłasza prawa lub roszczenia obywateli strony przeciwnej za wygasłe, zawieszone lub niedopuszczalne do dochodzenia przed sądem,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 2. Tej samej karze podlega, kto, naruszając prawo międzynarodowe, opóźnia repatriację jeńców wojennych lub osób cywilnych, dokonuje przemieszczenia, przesiedlenia lub deportacji ludności cywilnej, wciela, werbuje do sił zbrojnych osoby poniżej 18 roku życia lub faktycznie używa takich osób w działaniach zbrojnych."
Art. 125. Niszczenie, uszkadzanie, zabieranie lub przywłaszczanie mienia lub dobra kultury;"§ 1. Kto, na obszarze okupowanym, zajętym lub na którym toczą się
działania zbrojne, naruszając prawo międzynarodowe, niszczy, uszkadza, zabiera lub przywłaszcza mienie albo dobro kultury, podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Jeżeli czyn dotyczy mienia znacznej wartości albo dobra o szczególnym znaczeniu dla kultury, sprawca podlega karze pozbawienia wolności od lat 3 do 20."
